Name,State,Type,Tuition_out
University of Colorado Colorado Springs,CO,Public,19498
University of Alaska Anchorage,AK,Public,19494
Indiana State University,IN,Public,19452
North Carolina A & T State University,NC,Public,19416
Alabama State University,AL,Public,19396
Humboldt State University,CA,Public,19373
San Diego State University,CA,Public,19340
University of Maine at Machias,ME,Public,19320
University of Houston-Clear Lake,TX,Public,19270
The University of West Florida,FL,Public,19241
University of Northern Iowa,IA,Public,19241
California State University-Chico,CA,Public,19228
California State Polytechnic University-Pomona,CA,Public,19219
University of Alaska Fairbanks,AK,Public,19183
The University of Texas at San Antonio,TX,Public,19168
San Francisco State University,CA,Public,19134
North Carolina Central University,NC,Public,19106
Northern Kentucky University,KY,Public,19104
California State University-Sacramento,CA,Public,19084
Massachusetts College of Liberal Arts,MA,Public,19080
Indiana University-Kokomo,IN,Public,19038
Indiana University-South Bend,IN,Public,19038
Indiana University-Northwest,IN,Public,19038
Indiana University-Southeast,IN,Public,19038
Indiana University-East,IN,Public,19038
University of Alabama at Birmingham,AL,Public,19032
California State University-Bakersfield,CA,Public,19027
University of Maine at Farmington,ME,Public,19026
Kean University,NJ,Public,19009
Florida International University,FL,Public,18954
California State University Maritime Academy,CA,Public,18936
Texas A & M University-Corpus Christi,TX,Public,18925
California State University-Monterey Bay,CA,Public,18923
California State University-Stanislaus,CA,Public,18918
University of Toledo,OH,Public,18885
University of Akron Main Campus,OH,Public,18801
Florida State University,FL,Public,18786
California State University-San Bernardino,CA,Public,18765
Fort Lewis College,CO,Public,18761
California State University-Northridge,CA,Public,18755
California State University-Fullerton,CA,Public,18730
Montana State University Billings,MT,Public,18723
California State University-Dominguez Hills,CA,Public,18717
California State University-East Bay,CA,Public,18714
Northwestern State University of Louisiana,LA,Public,18710
California State University-Channel Islands,CA,Public,18697
Bowie State University,MD,Public,18653
Texas Tech University,TX,Public,18652
University of Southern Indiana,IN,Public,18626
Salisbury University,MD,Public,18622
California State University-Long Beach,CA,Public,18610
Bowling Green State University-Main Campus,OH,Public,18593
Ferris State University,MI,Public,18588
Louisiana Tech University,LA,Public,18558
Kent State University at Kent,OH,Public,18544
California State University-Los Angeles,CA,Public,18519
California State University-Fresno,CA,Public,18465
University of Minnesota-Duluth,MN,Public,18462
Lewis-Clark State College,ID,Public,18410
Cheyney University of Pennsylvania,PA,Public,18386
Texas A&M University-Texarkana,TX,Public,18375
Jackson State University,MS,Public,18314
Lamar University,TX,Public,18274
Eastern Kentucky University,KY,Public,18250
Alabama A & M University,AL,Public,18236
SUNY College of Environmental Science and Forestry,NY,Public,18193
